Identity;RemoteHostName;BatchName;FinalSyncTimestamp;LargeItemsEncountered;TotalMailboxItemCount;TotalMailboxSize;TotalPrimaryItemCount;TotalPrimarySize;TotalArchiveItemCount;TotalArchiveSize;ItemsTransferred;BytesTransferred;ArchiveItemsTransferred;ArchiveBytesTransferred;ShardItemsTransferred;ShardBytesTransferred;SyncedItemCount;OverallDuration;TotalFailedDuration;TotalInProgressDuration;TotalQueuedDuration;TotalSuspendedDuration;TotalTransientFailureDuration;TotalStalledDueToContentIndexingDuration;TotalStalledDueToMailboxLockedDuration;TotalStalledDueToMdbReplicationDuration;TotalStalledDueToReadCpu;TotalStalledDueToReadThrottle;TotalStalledDueToReadUnknown;TotalStalledDueToWriteCpu;TotalStalledDueToWriteThrottle;TotalStalledDueToWriteUnknown
User-1;owa.psdaych.re;EXOMigration_EMEA_W43_D3_20241025101414;11/01/2021 00:03;0;3486;105,26;3481;105,23;5;0,03;5368;174,25;8;0,1;18;0,23;0;395,2;0;77,2;0;272,4;0;0;0;0;0;0;0;0;0;0
User-2;owa.psdaych.re;EXOMigration_EMEA_W43_D3_20241025101414;11/01/2021 00:03;0;3808;572,4;3805;572,38;3;0,01;3967;665,55;5;0,07;7;0,1;0;395,2;0;166,2;0;241,8;0;0;0;0;0;0;0;0;0;0
User-3;owa.psdaych.re;EXOMigration_EMEA_W44_D1_1_20241102070406;11/07/2021 22:02;0;13793;5964,51;13788;5963,66;5;0,85;15889;6234,8;7;0,93;1932;141,96;0;345,2;0;128,6;1;228,4;0;0;0;0;0;0;0;0;0;0
User-4;ews-apac.psdaych.re;EXOMigration_APAC_W43_D2_20241025072842;11/09/2021 01:37;0;232;61,31;230;61,29;2;0,01;291;63,66;7;0,08;32;0,48;0;871,8;0;308,8;0;575,8;0;0;0;0;0;0;0;0;0;0
User-5;owa.psdaych.re;EXOMigration_EMEA_W45_D2_3_20241105094734;11/12/2021 01:11;0;615;76,03;611;76,01;4;0,02;973;89,14;9;0,1;332;10,19;0;417,2;0;122;0;308;0;0;0;0;0;0;0;0;0;0
User-6;owa.psdaych.re;EXOMigration_EMEA_W44_D1_1_20241102070406;11/07/2021 22:01;0;142;19,65;139;19,64;3;0,01;224;24,42;5;0,06;76;1,2;0;292,8;0;168,4;0;182,8;0;0;0;0;0;0;0;0;0;0
User-7;owa.psdaych.re;EXOMigration_EMEA_W44_D1_1_20241102070406;11/07/2021 22:01;0;174;24,91;172;24,9;2;0,01;287;30,37;4;0,04;107;1,4;0;344,2;0;81,8;2;214,8;0;0;0;0;0;0;0;0;0;0
User-8;owa.psdaych.re;EXOMigration_EMEA_W44_D1_1_20241102070406;11/07/2021 22:03;0;6557;1087,74;6554;1087,73;3;0,01;11617;1568,94;6;0,07;4906;400,26;0;294,8;0;620;0;267,8;0;0;0;0;0;0;0;0;0;0
User-9;owa.psdaych.re;EXOMigration_EMEA_W44_D1_1_20241102070406;11/07/2021 22:03;0;14193;5926,46;14190;5926,45;3;0,01;16922;6578,64;5;0,07;2256;485,88;0;345,2;0;122;1;231;0;0;0;0;0;0;0;0;3;0
User-10;owa.psdaych.re;EXOMigration_EMEA_W44_D4_2_20241101010956;11/08/2021 02:16;0;88909;15242,17;88906;15242,16;3;0,01;91098;16428,54;6;0,08;1394;309,82;0;395,6;0;109,6;0;298,8;0;0;0;0;0;0;0;0;0;0
User-11;ews-apac.psdaych.re;EXOMigration_APAC_W41_W40_EXCL20211007071907;10/18/2021 5:33:27 PM;0;119;7,32;115;7,29;4;0,03;131;10,41;7;0,1;0;0;0;617,2;0;331,6;0;344;0;0;0;0;0;0;0;0;0;0
User-12;owa.psdaych.re;EXOMigration_EMEA_W45_D4_1_20241105102710;11/15/2021 12:47:06 AM;0;15194;1882,89;15190;1882,87;4;0,02;15338;1990,71;12;0,15;39;0,39;0;497,2;0;87,4;0;467,2;0;0;0;0;0;0;0;0;0;0
User-13;ews-apac.psdaych.re;EXOMigration_APAC_W41_W40_EXCL20211007071907;10/18/2021 5:33:51 PM;0;4681;423,05;4677;423,03;4;0,01;4706;451,56;8;0,1;0;0;0;618,2;0;248,8;0;375,2;7;0;0;0;0;0;0;0;0;0
User-14;owa.psdaych.re;EXOMigration_EMEA_W45_D4_1_20241105102710;11/15/2021 12:47:32 AM;0;10685;513,52;10682;513,51;3;0,02;10714;549,28;9;0,12;15;0,23;0;497,2;0;124;0;431,6;0;0;0;0;0;0;0;0;0;0
